scenario,engine,attrs,rows,threshold,time_s,mem_gb
time_x_data,DuckDB,20,10000,0.01,1.2792398929595947,0.310821533203125
time_x_data,Java,20,10000,0.01,3.2739858627319336,0.20976638793945312
time_x_data,DuckDB,20,50000,0.01,1.8871095180511475,0.2878456115722656
time_x_data,Java,20,50000,0.01,3.374196767807007,0.1943206787109375
time_x_data,DuckDB,20,100000,0.01,2.6483681201934814,0.29166412353515625
time_x_data,Java,20,100000,0.01,3.424065113067627,0.20846176147460938
time_x_data,DuckDB,20,200000,0.01,4.1932947635650635,0.2996673583984375
time_x_data,Java,20,200000,0.01,3.5264365673065186,0.24765396118164062
time_x_data,DuckDB,20,499308,0.01,8.912172317504883,0.3230018615722656
time_x_data,Java,20,499308,0.01,3.8760275840759277,0.647369384765625
time_x_data,DuckDB,20,10000,0.0001,1.5575933456420898,0.31804656982421875
time_x_data,Java,20,10000,0.0001,3.7271265983581543,0.41538238525390625
time_x_data,DuckDB,20,50000,0.0001,2.1888883113861084,0.2880363464355469
time_x_data,Java,20,50000,0.0001,3.62813138961792,0.3536186218261719
time_x_data,DuckDB,20,100000,0.0001,2.934326648712158,0.29190826416015625
time_x_data,Java,20,100000,0.0001,2.9721274375915527,0.3422508239746094
time_x_data,DuckDB,20,200000,0.0001,4.527026891708374,0.2997703552246094
time_x_data,Java,20,200000,0.0001,3.5253827571868896,0.3759193420410156
time_x_data,DuckDB,20,499308,0.0001,9.280063152313232,0.3231468200683594
time_x_data,Java,20,499308,0.0001,4.3291826248168945,0.6663970947265625
time_x_data,DuckDB,20,10000,1e-06,2.881103992462158,0.3244285583496094
time_x_data,Java,20,10000,1e-06,5.841925621032715,1.1483078002929688
time_x_data,DuckDB,20,50000,1e-06,3.35408091545105,0.3118553161621094
time_x_data,Java,20,50000,1e-06,5.643407821655273,1.1492767333984375
time_x_data,DuckDB,20,100000,1e-06,4.235520839691162,0.30816650390625
time_x_data,Java,20,100000,1e-06,5.84168553352356,1.1809616088867188
time_x_data,DuckDB,20,200000,1e-06,6.028134822845459,0.32973480224609375
time_x_data,Java,20,200000,1e-06,5.790639877319336,0.9617424011230469
time_x_data,DuckDB,20,499308,1e-06,11.163226842880249,0.3667640686035156
time_x_data,Java,20,499308,1e-06,7.401694059371948,1.2995147705078125
time_x_data,DuckDB,20,10000,1e-08,13.727940320968628,0.4524955749511719
time_x_data,Java,20,10000,1e-08,19.33077120780945,1.4389533996582031
time_x_data,DuckDB,20,50000,1e-08,17.499751806259155,0.5434646606445312
time_x_data,Java,20,50000,1e-08,26.18845772743225,1.3482551574707031
time_x_data,DuckDB,20,100000,1e-08,20.54568076133728,0.5595970153808594
time_x_data,Java,20,100000,1e-08,24.323757886886597,1.3060264587402344
time_x_data,DuckDB,20,200000,1e-08,26.113268852233887,0.698974609375
time_x_data,Java,20,200000,1e-08,25.032630443572998,1.2364006042480469
time_x_data,DuckDB,20,499308,1e-08,28.664435386657715,0.5864372253417969
time_x_data,Java,20,499308,1e-08,31.26757025718689,1.6088981628417969
mem_x_data,DuckDB,20,5000,1e-08,9.968120574951172,0.3985443115234375
mem_x_data,Java,20,5000,1e-08,16.206127882003784,1.2191619873046875
mem_x_data,DuckDB,20,15000,1e-08,16.862497806549072,0.5511245727539062
mem_x_data,Java,20,15000,1e-08,24.621354579925537,1.2276878356933594
mem_x_data,DuckDB,20,25000,1e-08,24.649824857711792,0.7132797241210938
mem_x_data,Java,20,25000,1e-08,21.85840392112732,1.3691177368164062
mem_x_data,DuckDB,20,35000,1e-08,27.40221881866455,0.7219886779785156
mem_x_data,Java,20,35000,1e-08,24.17614197731018,1.4054374694824219
mem_x_data,DuckDB,20,45000,1e-08,26.793160915374756,0.7032089233398438
mem_x_data,Java,20,45000,1e-08,23.30953812599182,1.4057044982910156
mem_x_data,DuckDB,20,55000,1e-08,18.75186276435852,0.5488510131835938
mem_x_data,Java,20,55000,1e-08,24.469010829925537,1.2748336791992188
mem_x_data,DuckDB,20,65000,1e-08,16.866963863372803,0.5416145324707031
mem_x_data,Java,20,65000,1e-08,29.661604166030884,1.5032424926757812
mem_x_data,DuckDB,20,75000,1e-08,18.97866702079773,0.5601692199707031
mem_x_data,Java,20,75000,1e-08,24.67647957801819,1.7279243469238281
mem_x_data,DuckDB,20,85000,1e-08,17.559402465820312,0.5530433654785156
mem_x_data,Java,20,85000,1e-08,23.162601709365845,1.4337196350097656
time_mem_x_preds,DuckDB,4,5000,1e-08,0.38077425956726074,0.0785675048828125
time_mem_x_preds,Java,4,5000,1e-08,0.6551334857940674,0.1109771728515625
time_mem_x_preds,DuckDB,8,5000,1e-08,0.9173545837402344,0.13018417358398438
time_mem_x_preds,Java,8,5000,1e-08,1.5626535415649414,0.26845550537109375
time_mem_x_preds,DuckDB,12,5000,1e-08,2.345113515853882,0.20788192749023438
time_mem_x_preds,Java,12,5000,1e-08,3.473971128463745,0.4604682922363281
time_mem_x_preds,DuckDB,16,5000,1e-08,4.8317437171936035,0.2802734375
time_mem_x_preds,Java,16,5000,1e-08,8.30608582496643,0.7616043090820312
time_mem_x_preds,DuckDB,20,5000,1e-08,9.986071348190308,0.3982887268066406
time_mem_x_preds,Java,20,5000,1e-08,16.358829259872437,1.301116943359375
